review_id,robustness_score,frac_significant,frac_reversed,iqr_theta,eta2_estimator,audit_n_fail,audit_n_warn,audit_pct_fail,audit_pub_bias_flag,audit_model_misspec_flag,audit_prediction_gap_flag,audit_excess_sig_flag,audit_integrity_flag,quality_score,fragility_sub,bias_sub,prediction_sub,orb_sub,benford_mad,has_changepoint,n_changepoints,k,total_n,data_type_binary,data_type_continuous,data_type_GIV,topdim_Bias_Correction,topdim_Estimator,topdim_Leave_One_Out,topdim_CI_Method,never_stabilized,fragile_or_unstable,low_quality
CD006404,65.05,0.3494872875403849,0.0,0.0195686518825587,0.0852,11,18,0.42105263157894735,1,1,1,1,0,50.3,65.05,1.0,4.8,50.0,0.06898990845622129,0,0,16.0,9566.0,1,0,0,1,0,0,0,0,1,1
CD006475,60.09,0.6009070294784581,0.0,0.0886457526708858,0.0037,13,28,0.5454545454545454,1,0,1,1,0,48.5,60.09,0.0,2.98,50.0,0.0770638858277014,0,0,10.0,3858.0,0,0,1,1,0,0,0,0,1,1
CD006515,72.22,0.0555555555555555,0.0555555555555555,0.6529679953637266,0.0,1,12,0.08333333333333333,0,1,0,0,0,65.3,72.22,0.0,1.62,0.0,0.1506179345035735,0,0,2.0,107.0,0,0,1,1,0,0,0,0,0,0
CD006536,98.48,0.0151515151515151,0.0,0.2775536938240045,0.0,10,21,0.3333333333333333,1,0,0,0,0,79.5,98.48,0.0,1.03,0.0,0.0782355536284361,0,0,35.0,23275.0,0,0,1,0,0,1,0,0,0,0
CD006606,64.44,0.0888888888888888,0.0,1.096654435439665,0.016,6,16,0.42857142857142855,0,1,0,0,0,62.1,64.44,,4.39,40.0,0.12451823583768792,0,0,2.0,739.0,0,0,1,1,0,0,0,0,1,0
CD006632,76.39,0.7638888888888888,0.0,0.5932552582087683,0.0,2,7,0.16666666666666666,1,0,0,0,0,40.5,76.39,1.0,3.29,75.0,0.06428117532956837,0,0,11.0,12110.0,0,0,1,1,0,0,0,0,0,1
CD006689,16.14,0.1613756613756613,0.0,0.4030295847144469,0.0208,14,27,0.5,1,1,1,1,1,40.6,16.14,0.0,1.62,0.0,0.1553266676302264,0,0,12.0,6335.0,0,0,1,0,0,0,1,0,1,1
CD006712,72.22,0.0277777777777777,0.0,0.2356167535549306,0.0,4,3,0.75,1,0,0,0,1,73.7,72.22,,6.48,0.0,0.0782355536284361,0,0,12.0,1881.0,0,0,1,0,0,1,0,0,0,0
CD006714,66.67,0.0,0.0,0.0011080478134595,0.0,0,19,0.0,0,0,0,0,0,67.1,66.67,,6.48,20.0,0.11113833928520005,0,0,3.0,269.0,0,0,1,0,0,1,0,0,1,0
CD006742,86.67,0.0,0.0,0.2647500430595303,0.0,0,4,0.0,0,0,0,0,0,78.4,86.67,,2.2,10.0,0.1059997173191694,0,0,5.0,9124.0,0,0,1,0,0,1,0,0,0,0
CD006839,100.0,0.0,0.0,0.0227862773899096,0.0,0,3,0.0,0,0,0,0,0,86.7,100.0,,6.48,0.0,0.14044960326786793,0,0,7.0,498.0,0,0,1,0,1,0,0,0,0,0
CD006913,30.85,0.3084656084656084,0.0,0.1338041305205248,0.2071,11,38,0.3333333333333333,1,0,1,1,0,30.5,30.85,2.0,3.99,35.0,0.0878066988097868,0,0,33.0,7122.0,0,0,1,1,0,0,0,0,1,1
CD006919,62.38,0.6238095238095238,0.0,0.4067597238228101,0.0001,2,15,0.16666666666666666,0,0,1,1,0,51.8,62.38,0.0,2.58,0.0,0.0967540721469546,0,0,14.0,1744.0,0,0,1,1,0,0,0,0,1,1
CD006942,27.62,0.1333333333333333,0.1333333333333333,1.2687220513486528,0.0408,0,7,0.0,0,0,0,0,0,49.9,27.62,,4.19,15.0,0.11372549037353857,0,0,15.0,3875.0,0,0,1,0,0,1,0,0,1,1
CD006982,69.52,0.0,0.0,0.3348743670813435,0.0171,0,5,0.0,0,0,0,0,0,72.4,69.52,,3.6,0.0,0.10692240338266018,0,0,7.0,833.0,0,0,1,0,0,1,0,0,1,0
CD007024,91.23,0.0701754385964912,0.0,0.0320616737594994,0.0,3,14,0.2727272727272727,1,0,0,0,0,73.9,91.23,0.0,1.08,20.0,0.11268543957713459,0,0,15.0,1582.0,0,0,1,0,0,1,0,0,0,0
CD007026,87.5,0.0416666666666666,0.0,0.1036953167972567,0.0,2,8,0.3333333333333333,1,0,0,0,0,74.1,87.5,0.0,1.31,10.0,0.1361837348832641,0,0,6.0,3378.0,0,0,1,0,0,1,0,0,0,0
CD007079,7.65,0.0764790764790764,0.0,0.314044251635781,0.0078,9,14,0.23529411764705882,1,0,1,0,0,22.4,7.65,2.0,2.54,35.0,0.08125259355615233,0,0,12.0,38423.0,0,0,1,0,0,1,0,0,1,1
